"","Epic","Name","Bid(p)","Mid(p)","Offer(p)","Spread(p)","%Spread"
"1","AAL","Anglo American","1,271.50","1,272.50","1,272.50","1.00","0.08"
"2","ABF","Associated British Foods","2,596.00","2,596.00","2,597.00","1.00","0.04"
"3","ADM","Admiral Group","1,812.00","1,813.00","1,814.00","2.00","0.11"
"4","AHT","Ashtead Group","1,721.00","1,721.00","1,722.00","1.00","0.06"
"5","ANTO","Antofagasta","819.50","820.00","820.00","0.50","0.06"
"6","AV.","Aviva","508.50","508.75","509.00","0.50","0.10"
"7","AZN","AstraZeneca","4,779.50","4,780.50","4,781.00","1.50","0.03"
"8","BA.","BAE Systems","643.00","643.50","643.50","0.50","0.08"
"9","BAB","Babcock International Group","921.50","921.50","923.00","1.50","0.16"
"10","BARC","Barclays","231.35","231.40","231.40","0.05","0.02"
"11","BATS","British American Tobacco","5,106.00","5,108.00","5,110.00","4.00","0.08"
"12","BDEV","Barratt Developments","522.00","522.50","523.00","1.00","0.19"
"13","BLND","British Land Co","623.50","623.50","624.00","0.50","0.08"
"14","BLT","BHP Billiton","1,362.00","1,362.75","1,363.50","1.50","0.11"
"15","BNZL","Bunzl","2,307.00","2,307.00","2,310.00","3.00","0.13"
"16","BP.","BP","463.85","464.03","464.20","0.35","0.08"
"17","BRBY","Burberry Group","1,752.00","1,752.00","1,753.00","1.00","0.06"
"18","BT.A","BT Group","332.90","333.00","333.10","0.20","0.06"
"19","CCH","Coca-Cola HBC","1,942.00","1,942.00","1,943.00","1.00","0.05"
"20","CCL","Carnival","4,411.00","4,412.50","4,414.00","3.00","0.07"
"21","CNA","Centrica","227.40","227.70","227.70","0.30","0.13"
"22","CPG","Compass Group","1,498.00","1,499.00","1,499.00","1.00","0.07"
"23","CPI","Capita Group (The)","509.50","512.00","512.00","2.50","0.49"
"24","CRDA","Croda International","3,557.00","3,557.00","3,559.00","2.00","0.06"
"25","CRH","CRH","2,885.00","2,885.00","2,886.00","1.00","0.03"
"26","CTEC","Convatec Group","251.10","251.10","251.30","0.20","0.08"
"27","DC.","Dixons Carphone","297.70","297.80","297.90","0.20","0.07"
"28","DCC","DCC","7,005.00","7,012.50","7,020.00","15.00","0.21"
"29","DGE","Diageo","2,264.00","2,264.00","2,264.50","0.50","0.02"
"30","DLG","Direct Line Insurance Group","345.90","346.05","346.20","0.30","0.09"
"31","EXPN","Experian","1,611.00","1,612.50","1,614.00","3.00","0.19"
"32","EZJ","easyJet","956.00","956.50","956.50","0.50","0.05"
"33","FRES","Fresnillo","1,411.00","1,413.00","1,415.00","4.00","0.28"
"34","GKN","GKN","374.90","374.90","375.10","0.20","0.05"
"35","GLEN","Glencore","338.10","338.25","338.25","0.15","0.04"
"36","GSK","GlaxoSmithKline","1,687.50","1,688.00","1,688.50","1.00","0.06"
"37","HIK","Hikma Pharmaceuticals","2,125.00","2,126.00","2,126.00","1.00","0.05"
"38","HL.","Hargreaves Lansdown","1,325.00","1,326.00","1,326.00","1.00","0.08"
"39","HMSO","Hammerson","585.00","585.50","586.00","1.00","0.17"
"40","HSBA","HSBC Holdings","667.80","667.90","668.00","0.20","0.03"
"41","IAG","International Consolidated Airlines Group","543.50","544.00","544.50","1.00","0.18"
"42","IHG","InterContinental Hotels Group","3,838.00","3,842.00","3,842.00","4.00","0.10"
"43","III","3i Group","701.50","702.00","702.00","0.50","0.07"
"44","IMB","Imperial Brands","3,812.50","3,813.50","3,814.00","1.50","0.04"
"45","INF","Informa","673.00","673.25","673.50","0.50","0.07"
"46","INTU","Intu Properties","283.90","284.05","284.20","0.30","0.11"
"47","ITRK","Intertek Group","3,562.00","3,565.00","3,568.00","6.00","0.17"
"48","ITV","ITV","203.10","203.10","203.20","0.10","0.05"
"49","JMAT","Johnson Matthey","3,055.00","3,056.00","3,056.00","1.00","0.03"
"50","KGF","Kingfisher","330.20","330.30","330.30","0.10","0.03"
"51","LAND","Land Securities Group","1,060.00","1,061.00","1,061.00","1.00","0.09"
"52","LGEN","Legal & General Group","254.00","254.05","254.10","0.10","0.04"
"53","LLOY","Lloyds Banking Group  ORD","68.40","68.42","68.42","0.02","0.03"
"54","LSE","London Stock Exchange Group","3,115.00","3,116.00","3,116.00","1.00","0.03"
"55","MCRO","Micro Focus International","2,149.00","2,150.00","2,150.00","1.00","0.05"
"56","MDC","Mediclinic International","746.00","746.25","746.50","0.50","0.07"
"57","MERL","Merlin Entertainments","488.00","488.10","488.10","0.10","0.02"
"58","MKS","Marks & Spencer Group","331.00","331.00","331.30","0.30","0.09"
"59","MNDI","Mondi","1,925.00","1,926.00","1,926.00","1.00","0.05"
"60","MRW","Morrison (Wm) Supermarkets","243.50","243.65","243.80","0.30","0.12"
"61","NG.","National Grid","976.50","976.70","976.70","0.20","0.02"
"62","NXT","Next","3,941.00","3,946.00","3,951.00","10.00","0.25"
"63","OML","Old Mutual Group","225.50","225.60","225.70","0.20","0.09"
"64","PFG","Provident Financial","2,947.00","2,950.00","2,953.00","6.00","0.20"
"65","PPB","Paddy Power Betfair","8,720.00","8,720.00","8,725.00","5.00","0.06"
"66","PRU","Prudential","1,648.50","1,649.25","1,650.00","1.50","0.09"
"67","PSN","Persimmon","2,079.00","2,080.50","2,082.00","3.00","0.14"
"68","PSON","Pearson","678.00","678.50","678.50","0.50","0.07"
"69","RB.","Reckitt Benckiser Group","7,336.00","7,339.00","7,342.00","6.00","0.08"
"70","RBS","Royal Bank of Scotland Group (The)","246.90","247.00","247.00","0.10","0.04"
"71","RDSA","Royal Dutch Shell","2,137.50","2,138.25","2,139.00","1.50","0.07"
"72","RDSB","Royal Dutch Shell","2,237.50","2,238.00","2,238.00","0.50","0.02"
"73","REL","RELX","1,532.00","1,532.00","1,533.00","1.00","0.07"
"74","RIO","Rio Tinto","3,340.00","3,340.00","3,341.00","1.00","0.03"
"75","RMG","Royal Mail","403.80","404.00","404.20","0.40","0.10"
"76","RR.","Rolls-Royce Group","769.50","770.50","770.50","1.00","0.13"
"77","RRS","Randgold Resources","7,300.00","7,305.00","7,305.00","5.00","0.07"
"78","RSA","RSA Insurance Group","596.50","597.00","597.00","0.50","0.08"
"79","SBRY","Sainsbury (J)","261.40","261.55","261.70","0.30","0.11"
"80","SDR","Schroders","3,071.00","3,072.50","3,074.00","3.00","0.10"
"81","SGE","Sage Group (The)","645.00","645.50","645.50","0.50","0.08"
"82","SHP","Shire","5,036.00","5,036.00","5,037.00","1.00","0.02"
"83","SKG","Smurfit Kappa Group","2,169.00","2,170.00","2,170.00","1.00","0.05"
"84","SKY","Sky","997.50","998.00","998.00","0.50","0.05"
"85","SL.","Standard Life","378.40","378.55","378.70","0.30","0.08"
"86","SMIN","Smiths Group","1,533.00","1,533.50","1,534.00","1.00","0.07"
"87","SN.","Smith & Nephew","1,223.00","1,224.00","1,224.00","1.00","0.08"
"88","SSE","SSE","1,537.00","1,539.00","1,540.00","3.00","0.19"
"89","STAN","Standard Chartered","745.70","745.70","745.80","0.10","0.01"
"90","STJ","St James's Place","1,079.00","1,080.50","1,082.00","3.00","0.28"
"91","SVT","Severn Trent","2,355.00","2,355.00","2,356.00","1.00","0.04"
"92","TSCO","Tesco","188.05","188.10","188.10","0.05","0.03"
"93","TUI","TUI AG","1,134.00","1,135.00","1,136.00","2.00","0.18"
"94","TW.","Taylor Wimpey","182.90","182.95","183.00","0.10","0.05"
"95","ULVR","Unilever","3,857.00","3,858.25","3,859.50","2.50","0.06"
"96","UU.","United Utilities Group","981.50","981.50","982.00","0.50","0.05"
"97","VOD","Vodafone Group","202.20","202.23","202.25","0.05","0.02"
"98","WOS","Wolseley","4,993.00","4,994.00","4,995.00","2.00","0.04"
"99","WPG","Worldpay Group","272.20","272.50","272.60","0.40","0.15"
"100","WPP","WPP Group","1,758.00","1,759.00","1,760.00","2.00","0.11"
"101","WTB","Whitbread","3,771.00","3,771.00","3,773.00","2.00","0.05"
